Date,psi_01,psi,regime,comp_price_rank,comp_fg_3m,comp_fg_1w,comp_fg_1d,ret_3m,ret_1w,ret_1d,max_rise_3m,max_fall_3m,oil_price,rsi_raw
2007-01-02,,,NEUTRAL,,,,,,,,,,61.04999923706055,
2007-01-03,,,NEUTRAL,,,,,,,-0.04471743777810033,,,58.31999969482422,0.0
2007-01-04,,,NEUTRAL,,,,,,,-0.046810691984256136,,,55.59000015258789,0.0
2007-01-05,,,NEUTRAL,,,,,,,0.012951991702227161,,,56.310001373291016,11.650504614055109
2007-01-08,,,NEUTRAL,,,,,,,-0.003906965287475139,,,56.09000015258789,11.250016391273405
2007-01-09,,,NEUTRAL,,,,,,-0.08861588722392577,-0.008022834047339389,,,55.63999938964844,10.510963213522174
2007-01-10,,,NEUTRAL,,,,,,-0.07373112584982,-0.029115725191509623,,,54.02000045776367,8.500603505737814
2007-01-11,,,NEUTRAL,,,,,,-0.06673860540185561,-0.039614945788858824,,,51.880001068115234,6.78606201021951
2007-01-12,,,NEUTRAL,,,,,,-0.058959325410333996,0.021395539466049662,,,52.9900016784668,20.35596762387685
2007-01-15,0.5,50.0,NEUTRAL,,,,,,-0.05526829141893064,0.0,,,52.9900016784668,29.233246111264805
2007-01-16,0.5,50.0,NEUTRAL,,,,,,-0.07961898550990931,-0.033591291519386224,,,51.209999084472656,15.163935494125525
2007-01-17,0.5,50.0,NEUTRAL,,,,,,-0.03295073610168875,0.02011331014271489,,,52.2400016784668,26.32228682752512
2007-01-18,0.5,50.0,NEUTRAL,,,,,,-0.02698537966567871,-0.03369069830937499,,,50.47999954223633,22.66951044616168
2007-01-19,0.5,50.0,NEUTRAL,,,,,,-0.01887148458812682,0.029912879356646105,,,51.9900016784668,39.1211322566058
2007-01-22,0.5,50.0,NEUTRAL,,,,,,-0.035100972852155965,-0.016541653829331482,,,51.130001068115234,45.34162108780805
2007-01-23,0.5,50.0,NEUTRAL,,,,,,0.07479011715538153,0.07647173412344,,,55.040000915527344,59.44699245675069
2007-01-24,0.5,50.0,NEUTRAL,,,,,,0.05991571885243929,0.005995603395136051,,,55.369998931884766,60.64398731801723
2007-01-25,0.5,50.0,NEUTRAL,,,,,,0.07428684694940224,-0.020588755854065388,,,54.22999954223633,64.32637145362702
2007-01-26,0.5,50.0,NEUTRAL,,,,,,0.06597415617893998,0.021943548529484547,,,55.41999816894531,64.85979562493472
2007-01-29,0.5,50.0,NEUTRAL,,,,,,0.05632695468911186,-0.025442076759255583,,,54.0099983215332,67.05313671361017
2007-01-30,0.5,50.0,NEUTRAL,,,,,,0.03506541193808932,0.05480472118418489,,,56.970001220703125,71.10169433992641
2007-01-31,0.5,50.0,NEUTRAL,,,,,,0.05002709971461772,0.02053709222179423,,,58.13999938964844,78.94302302395637
2007-02-01,0.5,50.0,NEUTRAL,,,,,,0.05661072691754665,-0.01444788719308876,,,57.29999923706055,62.49999472525098
2007-02-02,0.5,50.0,NEUTRAL,,,,,,0.06495854218262376,0.03001747371037755,,,59.02000045776367,67.49760987095863
2007-02-05,0.5,50.0,NEUTRAL,,,,,,0.08757643962095418,-0.004744133804222006,,,58.7400016784668,73.56323030328639
2007-02-06,0.5,50.0,NEUTRAL,,,,,,0.03352641401590861,0.00238337394702115,,,58.880001068115234,70.30518024219745
2007-02-07,0.5,50.0,NEUTRAL,,,,,,-0.007395946159097111,-0.019870957242155374,,,57.709999084472656,72.34299277649521
2007-02-08,0.5,50.0,NEUTRAL,,,,,,0.04205933472078249,0.03465603936455652,,,59.709999084472656,68.71583318307317
