Date,prcsi_quant_raw,prcsi_quant,regime_quant,comp_fundamentals,oil_price,oil_logret
2007-01-03,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,58.31999969482422,-0.04574810559213106
2007-01-04,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,55.59000015258789,-0.04794175075736351
2007-01-05,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,56.310001373291016,0.01286883194431712
2007-01-08,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,56.09000015258789,-0.003914617413918219
2007-01-09,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,55.63999938964844,-0.008055190155069374
2007-01-10,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,54.02000045776367,-0.029547999247151867
2007-01-11,46.532110724105216,46.532110724105216,NEUTRAL,0.46532110724105213,51.880001068115234,-0.04042097680200428
2007-01-12,39.18266744785443,45.062222068855064,NEUTRAL,0.39182667447854425,52.9900016784668,0.02116986814339971
2007-01-15,39.18266744785443,43.5923334136049,FEAR,0.39182667447854425,52.9900016784668,0.0
2007-01-16,39.18266744785443,42.122444758354746,FEAR,0.39182667447854425,51.209999084472656,-0.03416844058327444
2007-01-17,39.18266744785443,40.65255610310458,FEAR,0.39182667447854425,52.2400016784668,0.019913709501533764
2007-01-18,39.18266744785443,39.18266744785443,FEAR,0.39182667447854425,50.47999954223633,-0.03427130793335167
2007-01-19,71.65362473699997,45.67685890568354,NEUTRAL,0.7165362473699997,51.9900016784668,0.029474215515300863
2007-01-22,60.63244548671969,49.96681451345659,NEUTRAL,0.6063244548671969,51.130001068115234,-0.01667999469794589
2007-01-23,54.269364679772615,52.98415395984023,NEUTRAL,0.5426936467977261,55.040000915527344,0.07368878027684835
2007-01-24,45.57723465115893,54.26306740050113,NEUTRAL,0.4557723465115893,55.369998931884766,0.005977701285428776
2007-01-25,45.57723465115893,55.54198084116202,GREED,0.4557723465115893,54.22999954223633,-0.020803659132553838
2007-01-26,16.50177531112586,44.5116109559872,FEAR,0.1650177531112586,55.41999816894531,0.0217062539834136
2007-01-29,27.522954561312147,37.889712770905696,FEAR,0.27522954561312146,54.0099983215332,-0.025771322867395023
2007-01-30,33.8860353682279,33.81304690859675,FEAR,0.338860353682279,56.970001220703125,0.05335565139158988
2007-01-31,42.57816539677892,33.21323305772076,FEAR,0.4257816539677892,58.13999938964844,0.02032904971334117
2007-02-01,42.57816539677892,32.613419206844746,FEAR,0.4257816539677892,57.29999923706055,-0.014553274226897776
2007-02-02,73.18418421846998,43.94990098831358,FEAR,0.7318418421846998,59.02000045776367,0.02957576686500121
2007-02-05,62.16300496822753,50.87791106969665,NEUTRAL,0.6216300496822753,58.7400016784668,-0.004755422925885485
2007-02-06,55.799924161293056,55.26068882830968,GREED,0.5579992416129306,58.880001068115234,0.002380538216179717
2007-02-07,47.1077941327046,56.166614575494826,GREED,0.47107794132704595,57.709999084472656,-0.02007103970256539
2007-02-08,47.1077941327046,57.072540322679956,GREED,0.47107794132704595,59.709999084472656,0.03406904236740361
2007-02-09,73.30483642266728,57.09667076351941,GREED,0.7330483642266729,59.88999938964844,0.003010040859158154
2007-02-12,62.28365717601795,57.1208012050775,GREED,0.6228365717601795,57.810001373291016,-0.03534774123552636
2007-02-13,55.9205763702809,57.14493164687506,GREED,0.559205763702809,59.060001373291016,0.021392104718614045
